filename,document,text
reviews Coiling Dragon.txt,"Where do I even start on this novel?it is famous for being a gateway to many many people to this subculture and medium including me.It has top-notch storytelling at the start and it suffers a bit at the later parts but has great quality overall.Linley Baruch is a great main character who may be a little bland at times. And side characters for select few aren't developed well and could feel like cardboard especially at the latter half of the novel.While in the world-building/' department, it is a great and even maybe the best way to enter this medium with more western and easier to grasp terms and sayings though IET has a bit of a running joke among fans as his descriptions can be a little...big and grand.All in all, I would extremely recommend this to new readers and strongly suggest veterans take a look too. While it may not reinvent the wheel, it has unique plot elements and great storytelling which make it a worthwhile read.","where do i even start on this novel?it is famous for being a gateway to many many people to this subculture and medium including me.it has topnotch storytelling at the start and it suffers a bit at the later parts but has great quality overall.linley baruch is a great main character who may be a little bland at times. and side characters for select few arent developed well and could feel like cardboard especially at the latter half of the novel.while in the worldbuilding department, it is a great and even maybe the best way to enter this medium with more western and easier to grasp terms and sayings though iet has a bit of a running joke among fans as his descriptions can be a little...big and grand.all in all, i would extremely recommend this to new readers and strongly suggest veterans take a look too. while it may not reinvent the wheel, it has unique plot elements and great storytelling which make it a worthwhile read."
reviews Coiling Dragon.txt,"Like many this was the first c-novel i ever read. I can honestly say this is a great novel that really showcases all of the tropes (good and bad) that come with these kinds of stories.The best part about this novel is the world building and the epic sense of scope and scale. This novel still has some of the best, if not the best, action sequences in any novel i have read to date. Absolutely dazzling and had me throwing my fist in the air at how awesome it wasLinley is great as a main character who forges his own path. His personality is a bit stale but he always remains likeable. The side characters tend to get lost in the shuffle becoming more of a mob type which is unfortunate.Overall i definitely recommend this if you're looking for a top tier action novel with epic world building.","like many this was the first cnovel i ever read. i can honestly say this is a great novel that really showcases all of the tropes good and bad that come with these kinds of stories.the best part about this novel is the world building and the epic sense of scope and scale. this novel still has some of the best, if not the best, action sequences in any novel i have read to date. absolutely dazzling and had me throwing my fist in the air at how awesome it waslinley is great as a main character who forges his own path. his personality is a bit stale but he always remains likeable. the side characters tend to get lost in the shuffle becoming more of a mob type which is unfortunate.overall i definitely recommend this if youre looking for a top tier action novel with epic world building."
reviews Coiling Dragon.txt,"It's Coiling Dragon, obviously you should read it! There ya go, now you know. Go on, go read it.*Sigh*I wish I could just end the review there and send you off on your merry way but the reviews demand a word count, ironically just like Chinese LN websites, so I will pad this review as best I can to hit the word count.The story is great, a young boy belonging to a now decrepit clan finds a ring and with it, sets out on a journey through dimensions filled with happiness, sorrow, love, loss and an unending desire to right the wrongs he and his family have experienced. It's a story that once it steps on the gas, it won't let up. Be ready to brace yourself for a hell of a ride!","its coiling dragon, obviously you should read it! there ya go, now you know. go on, go read it.sighi wish i could just end the review there and send you off on your merry way but the reviews demand a word count, ironically just like chinese ln websites, so i will pad this review as best i can to hit the word count.the story is great, a young boy belonging to a now decrepit clan finds a ring and with it, sets out on a journey through dimensions filled with happiness, sorrow, love, loss and an unending desire to right the wrongs he and his family have experienced. its a story that once it steps on the gas, it wont let up. be ready to brace yourself for a hell of a ride!"
reviews Coiling Dragon.txt,"This is the one that got me into the entire genre. I started reading while it was still being translated and kept looking forward to the next release.During my first read through, there is nothing I would change or critic. After reading it a couple times afterwards, I realized some places it could be improved.The romance is very meh and kinda just there to be able to say there is romance in the novel.There are a couple of things that the author could've expanded on (Maybe having Linley teach his descendants his sculpting method, and more involvement with them in general.) and the ending also seems a little rushed.Despite that being said, the rest of the novel was GREAT, and I would highly recommend this novel to others, even if you've read it before..","this is the one that got me into the entire genre. i started reading while it was still being translated and kept looking forward to the next release.during my first read through, there is nothing i would change or critic. after reading it a couple times afterwards, i realized some places it could be improved.the romance is very meh and kinda just there to be able to say there is romance in the novel.there are a couple of things that the author couldve expanded on maybe having linley teach his descendants his sculpting method, and more involvement with them in general. and the ending also seems a little rushed.despite that being said, the rest of the novel was great, and i would highly recommend this novel to others, even if youve read it before.."
reviews Coiling Dragon.txt,"Not a single fault of the series comes to mind. How strange. Well, I don't feel like just praising every aspect of it, though I should....Wait! There are a few, unfortunately...---The romance was nothing special, so don't get your hopes up. A little bit of drama, etc. Plus, the love interest...she, uh, isn't written well and, as far as I recall, had very little depth.---A few characters are introduced as very important were unfortunately overshadowed and forgotten pretty quickly without contributing to the plot much at all.However, everything else is really awesome! Especially the setting! Exploring the vast cosmos was a delight.","not a single fault of the series comes to mind. how strange. well, i dont feel like just praising every aspect of it, though i should....wait! there are a few, unfortunately...the romance was nothing special, so dont get your hopes up. a little bit of drama, etc. plus, the love interest...she, uh, isnt written well and, as far as i recall, had very little depth.a few characters are introduced as very important were unfortunately overshadowed and forgotten pretty quickly without contributing to the plot much at all.however, everything else is really awesome! especially the setting! exploring the vast cosmos was a delight."
reviews Coiling Dragon.txt,"This is my number 1 favorite story ever on any site. This is the story that got me into Chinese light novels and so on. Honestly, there is nothing really bad about this story other than it's finished and I wish there was more for me to read.I am sure most readers of Chinese/Korean light novels have already read this and if someone has not then they need to stop reading whatever else they are reading and immerse themselves in this story.This story has it all, a great mc a great storyline. No harem and instead it has a beautiful love story that is not forgotten after a few chapters. It has great side characters and villains, and the cultivation in this story is amazing and easy to understand.The only thing I could really say that was kind like not so great was how certain abilities or should I say a cultivation style was pretty much like throwing out the window after a while. I won't go into detail because I don't want to spoil anything but I remember myself and others feeling that it was kind of a let down that certain concepts were forgotten or just plain thrown away later on in the story.Of course, this did not ruin the story it just would have been great if they were kept in and developed.In conclusion, this is the best story hands down. The second best, in my opinion, would be The Desolate Era by the same author.","this is my number 1 favorite story ever on any site. this is the story that got me into chinese light novels and so on. honestly, there is nothing really bad about this story other than its finished and i wish there was more for me to read.i am sure most readers of chinesekorean light novels have already read this and if someone has not then they need to stop reading whatever else they are reading and immerse themselves in this story.this story has it all, a great mc a great storyline. no harem and instead it has a beautiful love story that is not forgotten after a few chapters. it has great side characters and villains, and the cultivation in this story is amazing and easy to understand.the only thing i could really say that was kind like not so great was how certain abilities or should i say a cultivation style was pretty much like throwing out the window after a while. i wont go into detail because i dont want to spoil anything but i remember myself and others feeling that it was kind of a let down that certain concepts were forgotten or just plain thrown away later on in the story.of course, this did not ruin the story it just would have been great if they were kept in and developed.in conclusion, this is the best story hands down. the second best, in my opinion, would be the desolate era by the same author."
reviews Coiling Dragon.txt,"I eat tomatoes (æåè¥¿çº¢æ¿ï¼has written a few of my favourite novels,such as Coiling Dragon,Stellar Transformation and The Desolate Era. (Check those out too!)Oddly enough,I find these English translations easier to read than the Chinese versions even though Iâm an actual Chinese.Iâve read many novels here in WW,and although I only created an account when the new system came out,hopefully the fact that I chose reading English translations over pirated Chinese copies show how good the quality of the translations here at WW are.Overall,Coling Dragon feels similar to The Desolate Era,and if you liked one youâll probably like the other.As with the other novels,Coling Dragon has a memorable MC and plot,and is a great place to start with Wuxia novels.Best of all,you donât have to wait daily for translations~","i eat tomatoes has written a few of my favourite novels,such as coiling dragon,stellar transformation and the desolate era. check those out too!oddly enough,i find these english translations easier to read than the chinese versions even though im an actual chinese.ive read many novels here in ww,and although i only created an account when the new system came out,hopefully the fact that i chose reading english translations over pirated chinese copies show how good the quality of the translations here at ww are.overall,coling dragon feels similar to the desolate era,and if you liked one youll probably like the other.as with the other novels,coling dragon has a memorable mc and plot,and is a great place to start with wuxia novels.best of all,you dont have to wait daily for translations"
reviews Coiling Dragon.txt,"God tier for this genre. Always will be the novel that got me into this genre, and I even reread it recently - still really good.The worldbuilding is excellent - for this genre, the worlds are almost ALL carbon copies of each other. Same political systems. Same cultures. Same sensibilities. Not this story. The geography is awesome, the enormity of the world feels real, the different cultural values can be seen, and the way the different *worlds* change as the story goes is very interesting. The starting culture Linley is born into resembles the European nobility system - which is very refreshing in this genre.Characters - The more I read this genre, the more I notice its flaws. All the young masters who are so arrogant and annoying, the beautiful women that only exist to turn the audience on or make them mad because another young master kidnapped the mc's ""property"". Not this. Coiling dragon has characters that have their own motivations, purposes, quirks, and so on that differentiate themselves from the rest of this genre. Not ONCE did I sigh and roll my eyes, thinking a fight was unnecessary or forced by the author. If there is a fight, there is a reason for it. Although not perfect, it's about as close as a story roughly two million (twenty standard novels) long, and translated from another language can be.As others have said, Linley can be a bit 'bland'. I would not necessarily agree, but I can still see where people are coming from. However, I have to rebut this point. Harry Potter, the character, not the book, is one of the blandest and most boring characters around. And yet, he is the MC of the most famous novel in the world. The reason? He allows the reader to easily put themselves int he MC's shoes. This makes the story almost become your own journey but in a different person's shoes rather than watching another person's story whom you may not agree with.Overall, there are flaws, but for this genre, you can easily overlook them. If you cannot, then you definitely won't last more than two story arcs of any other xianxia series. 10/10 WILL REREAD A THIRT TIME.","god tier for this genre. always will be the novel that got me into this genre, and i even reread it recently  still really good.the worldbuilding is excellent  for this genre, the worlds are almost all carbon copies of each other. same political systems. same cultures. same sensibilities. not this story. the geography is awesome, the enormity of the world feels real, the different cultural values can be seen, and the way the different worlds change as the story goes is very interesting. the starting culture linley is born into resembles the european nobility system  which is very refreshing in this genre.characters  the more i read this genre, the more i notice its flaws. all the young masters who are so arrogant and annoying, the beautiful women that only exist to turn the audience on or make them mad because another young master kidnapped the mcs property. not this. coiling dragon has characters that have their own motivations, purposes, quirks, and so on that differentiate themselves from the rest of this genre. not once did i sigh and roll my eyes, thinking a fight was unnecessary or forced by the author. if there is a fight, there is a reason for it. although not perfect, its about as close as a story roughly two million twenty standard novels long, and translated from another language can be.as others have said, linley can be a bit bland. i would not necessarily agree, but i can still see where people are coming from. however, i have to rebut this point. harry potter, the character, not the book, is one of the blandest and most boring characters around. and yet, he is the mc of the most famous novel in the world. the reason? he allows the reader to easily put themselves int he mcs shoes. this makes the story almost become your own journey but in a different persons shoes rather than watching another persons story whom you may not agree with.overall, there are flaws, but for this genre, you can easily overlook them. if you cannot, then you definitely wont last more than two story arcs of any other xianxia series. 1010 will reread a thirt time."
reviews Coiling Dragon.txt,"A very good novel, and the translation was greattoo (it's not always the case, so it should be mentioned).Midway through I felt a bit of slow pace for a time, and couldn't feel where the author wanted to go (which is not necessarily a bad thing), but the second half was worth it.As of today, CD is still in my top 5 (together with the other IET novels).There are only a few novels that combine a good or great base storyline, a good writing, a good storytelling (by an author that hasn't lost his soul to the word count devil) and a good translation. CD is one of them, and one of the jewels on WW!","a very good novel, and the translation was greattoo its not always the case, so it should be mentioned.midway through i felt a bit of slow pace for a time, and couldnt feel where the author wanted to go which is not necessarily a bad thing, but the second half was worth it.as of today, cd is still in my top 5 together with the other iet novels.there are only a few novels that combine a good or great base storyline, a good writing, a good storytelling by an author that hasnt lost his soul to the word count devil and a good translation. cd is one of them, and one of the jewels on ww!"
reviews Coiling Dragon.txt,"One of the best novels on the site. I would recommend this to anyone wanting to start reading this genre of novels. The length is perfect, it doesn't feel forced, and the storyline is great. I think the beginning of the novel is the best, but there are surprises along the way and a lot of mythology for Those that like that.The bad- it can be a little bit repetitive. I think this is a flaw with many of the novels - think Dragon Ball Z.. But this novel is probably less repetitive than some of the others.Overall I would recommend this to anyone.","one of the best novels on the site. i would recommend this to anyone wanting to start reading this genre of novels. the length is perfect, it doesnt feel forced, and the storyline is great. i think the beginning of the novel is the best, but there are surprises along the way and a lot of mythology for those that like that.the bad it can be a little bit repetitive. i think this is a flaw with many of the novels  think dragon ball z.. but this novel is probably less repetitive than some of the others.overall i would recommend this to anyone."
